"siteId","activityId","startDate","endDate","health_eru","first_aid","rescue","hygiene_promo","wash","pss_counseling","child_activities","total_pss","total_rfl","total_rfl_vulnerable","info_services","wifi_mobile","phone_cards_calls","hotline_calls","other_services","total_health","total_connectivity","total_wash","total_ppl_reached","Total.RFL","locationId","locationName","latitude","longitude","partnerId","partnerName"
1961382118,70700,"2016-01-30","2016-02-04",18,0,0,0,0,261,18,279,353,0,60,0,0,64,0,297,124,0,774,353,2025732386,"Athens",37.96667,23.71667,13910,"Hellenic Red Cross"
1969836722,70700,"2016-05-06","2016-05-12",289,0,0,350,0,435,0,435,0,0,268,0,0,0,0,724,268,350,1342,0,519440442,"Samos",37.75,26.83333,13753,"Samos"
1988690695,70700,"2016-04-01","2016-04-07",123,0,0,55,0,378,80,458,0,0,0,0,0,0,0,581,0,55,636,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1992536153,70700,"2016-06-10","2016-06-16",603,0,0,2670,0,28,0,28,52,0,0,0,0,0,0,631,0,2670,3353,52,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
1993554485,70700,"2016-04-08","2016-04-14",171,7,0,0,0,408,456,864,484,203,61,0,2,97,0,1042,160,0,1889,687,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
2003574425,70700,"2016-04-15","2016-04-21",395,0,0,0,0,68,97,165,1,0,156,0,0,0,0,560,156,0,717,1,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
2011927367,70700,"2016-05-27","2016-06-02",449,0,0,110,0,33,0,33,1,0,0,0,0,0,0,482,0,110,593,1,569257762,"Cherso",41.09591,22.7691697,13837,"Cherso"
2018308928,70700,"2016-06-17","2016-06-23",0,12,0,0,0,0,0,0,1,0,0,0,93,12,0,12,105,0,118,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
2020652470,70700,"2016-01-09","2016-01-15",0,4,0,0,0,4,5,9,1,0,57,0,0,0,330,13,57,0,401,1,569080712,"Kos",36.85,27.23333,13759,"Kos"
2032712587,70700,"2016-06-10","2016-06-16",199,0,0,152,0,592,340,932,0,0,0,0,0,0,0,1131,0,152,1283,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
2038110064,70700,"2016-06-03","2016-06-09",535,0,0,0,0,26,0,26,0,0,0,0,0,0,0,561,0,0,561,0,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
2049411351,70700,"2016-02-05","2016-02-11",12,0,0,0,0,0,28,28,370,167,69,0,0,84,0,40,153,0,730,537,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
2084788386,70700,"2016-05-27","2016-06-02",0,0,0,0,0,0,30,30,2,0,0,0,4,0,0,30,4,0,36,2,569080712,"Kos",36.85,27.23333,13759,"Kos"
2090911296,70700,"2016-02-26","2016-03-03",0,0,0,0,0,12,0,12,0,0,25,0,0,0,602,12,25,0,639,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
2139261689,70700,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
2140386266,70700,"2016-01-23","2016-01-29",64,0,0,120,0,400,205,605,2,0,100,40,5,0,0,669,145,120,936,2,519440442,"Samos",37.75,26.83333,13910,"Hellenic Red Cross"
